"study","ecosystem","top_bottom_both","phyto_func_response","func_group_type","zoo","fish","microbes","location","study_type","experimental_design","manipulation","coordinates","spatial extent_km","temporal duration","trophic state","importance_td_vs_bu","zoop_func_response","notes","include","reviewer","year"
"Mathes and Arndt 1995","freshwater",3,1,"taxonomic",1,0,1,"Lake Neumuhler, Germany","field","in situ","NA","NA","20 km^2","February 1990-March 1991","mesoeutrophic",NA,0,"NA","y","Britt",1995
"Mathes and Arndt 1995","freshwater",3,1,"taxonomic, morphological",1,0,0,"Lake Neumühler, Mecklenburg-Vorpommern, Germany","field","in situ","NA","53.6451° N, 11.3348° E","1 station","Feb. 1990 - Mar. 1991","mesoeutrophic",NA,1,"while it mainly focuses on zoops and protozoans, I think we can still get some phytoplankton data from this because they did standard measurements etc.","Yes","Emmy",1995
"McCollum et al 1998","freshwater",3,1,"taxonomic",0,1,0,"Raleigh NC Aquatic Research Facility","lab","experiment","predators","NA","24 aquaria, 72 L each","6 weeks","meso-eutrophic",NA,0,NA,"y","Heather",1998
"McCollum et al 1998","freshwater",1,1,"taxonomic",0,1,0,"NCSU Aquatic Research Facility, Raleigh, NC, USA","lab","experiment","predator","NA","24 aquaria","6-weeks. June-Aug. 1992","NA","td",0,"nice basic experiment, links fish to snail predation effects on periphyton. Which actually begs the question of are we including periphyton as phytoplankton? If yes include, if no exclude.","Maybe","Emmy",1998
"Middelbo et al 2018","marine",NA,1,"morphological",1,0,0,"Young Sound, NE Greenland","field","in situ","salinity gradient","74°18' N ; 20°10' W","4 stations","mid-July to early October 2014","na",NA,1,"focus on zooplankton. only chl-a for phytoplankton biomass. size-fractionated Chl a concentrations (<10um or >10um). measured zooplankton taxonomic group abundances","include","Megan",2018
"Middelbo et al 2018","marine",3,1,"morphological",1,0,0,"Young Sound, NE Greenland","field","in situ","NA","(74°18' N, 20°10' W)","4 station transect through whole season, 25 station transect 4 times.","mid July - early Oct.","NA","td",1,"while they have a bit of an angle preferencing the copepods, there is a lot of relevant phytoplankton data and findings and it fits our criiteria.","Yes","Emmy",2018
"Montes-Hugo and Alvarez-Borrego 2007","estuary",3,1,"taxonomic",1,0,0,"Coastal lagoon Baja California","field","in situ","NA","NA","NA","3 days","NA",NA,1,"Brackish water (coastal lagoon)","y","Ewaldo",2007
"Montes-Hugo and Alvarez-Borrego 2007","estuary",3,1,"taxonomic",1,0,0,"Estero de Punta Banda, California, USA","field","in situ","NA","NA","10 sampling stations","Oct. 2,4, and Dec. 2-3, 2003","NA","td",1,"so they use pigment and cell count, which normally wouldnt be enough, but they used HPLC to seperate pigments and identify different taxa that way.","Yes","Emmy",2007
"Muscarella et al 2014","freshwater",2,1,"taxonomic",1,0,1,"Michigan State University W. K. Kellogg Biological Station Experimental Pond Facility, MI, USA","field","experiment, omics","P - nutrients","NA","NA","28 days","eutrophic","bu",0,"NA","y","Britt",2014
"Muscarella et al 2014","freshwater",2,1,"taxonomic, omics",0,0,1,"W.K. Kellogg Biological Station Experimental Pond Facility, Hickory Corners, Miichigan, USA.","lab","experiment","nutrients","NA","24 mesocosms","28 days","well water with eutrophic or oligotrophic inoculum","bu",0,NA,"Yes","Emmy",2014
"Napiorkowska-Krzebietke et al 2023","freshwater",3,1,"taxonomic",1,0,0,"Lake Warnołty, Poland","field","in situ","NA","NA","Various sample sites across the lake","March 2016-February 2017",NA,NA,1,"Taxonomically assign plankton into functional groups and assign response curves - but focused on fish effects on this group.","y","Britt",2023
